ترهاشو,ترهایش را
هاش,هایش
هام,هایم
هات,هایت
هارو,ها را
ترشون,ترشان
ترمون,ترمان
ترهاش,ترهایش
ترایم,ترهایم
ترای,ترهای
ترامو,ترهایم را
ترام,ترهایم
ترات,ترهایت
تراشو,ترهایش را
تراشه,ترهایش است
تراش,ترهایش
تراشان,ترهایشان
هامانو,هایمان را
هامان,هایمان
هامونو,هایمان را
هامونه,هایمان است
هامون,هایمان
ایشونو,ایشان را
ایشونه,ایشان است
ایشون,ایشان
ه,است
ست,است
شون,شان
تون,تان
مون,مان
شونه,شان است
شونو,شان را
تونه,تان است
تونو,تان را
مونه,مان است
مونو,مان را
ترینه,ترین است
تره,تر است
ی,ی
ام,ام
ات,ات
ان,ان
م,م
ت,ت
ش,ش
ن,ن
ان,هستند
ه,است
ای,ای
هام,هایم
هاتون,هایتان
هاشون,هایشان
هامون,هایمان
